news_title,news_text
COVID-19 outbreak under control to certain degree: Sri Lankan PM,"
Sri Lankan PM Mahinda Rajapaksa said that the country has gradually begun relaxing curfew as the coronavirus outbreak is now under control to a certain degree. The PM's comments come on the eve of opening up economic activities after nearly two months. However, the curfew will continue in four high-risk districts, including capital Colombo, a senior police official said.

short by Shailesh / 
      11:05 pm on 10 May

"
Brazil Prez criticised for riding jet ski amid COVID-19 pandemic ,"
Brazilian President Jair Bolsonaro was criticised on Twitter for riding a jet-ski and holding a barbecue with a few people amid coronavirus pandemic in Brazil. The country has reported over 1.56 lakh coronavirus cases and 10,697 deaths from the virus. Earlier, British medical journal The Lancet, in an editorial, said that the ""biggest threat"" to Brazil's COVID-19 response is Bolsonaro.

short by Shailesh / 
      10:43 pm on 10 May

"
Noted historian Hari Vasudevan dies of coronavirus in Kolkata,"
Sixty-eight-year-old noted historian Hari Vasudevan has died of coronavirus at a private hospital in Kolkata. Vasudevan tested positive for the virus after being admitted to the hospital with high fever and breathing difficulty. He had been on ventilator and died after suffering two cardiac arrests.

short by Sakshita Khosla / 
      09:15 pm on 10 May

"
Pune Labour Office issues notice to Tech Mahindra over alleged pay cuts,"
Pune's Labour Office issued a notice to Tech Mahindra for allegedly cutting salaries of over 13,000 employees to maintain ""profitability"" during COVID-19. Mahindra also stopped employees' shift allowance from May 1, a complaint by employee welfare body NITES said. Tech Mahindra said the allowance is for travel hardships during odd hours, which is being paid for staff coming to office. 

short by Anushka Dixit / 
      10:41 pm on 10 May

"
"Sri Lanka need to be in top 4 in both ODIs, Tests: SL skipper Karunaratne","
Sri Lanka Test and ODI captain Dimuth Karunaratne has said that the team needs to be in the top four in both Test and ODI rankings. ""Rankings is the keyword...[being in top four] would indirectly mean semifinalists...there onwards...If you do well you could end up being world champs,"" he stated. SL are currently eighth in ODI rankings. 

short by Ankur Taliyan / 
      08:55 pm on 10 May

"
Hockey legend Balbir Sr tests COVID-19 negative; condition critical,"
Hockey legend Balbir Singh Sr, who was hospitalised on Friday evening with complaints of pneumonia, has tested negative for coronavirus but his condition is reportedly ""critical"". ""He continues to remain on a ventilator,"" Singh's grandson was quoted as saying. Singh still holds the record of most goals scored by an individual in the men's hockey final of the Olympics. 

short by Ankur Taliyan / 
      10:33 pm on 10 May

"
Women's T20 WC was bigger than the tournament: Ellyse Perry,"
Australia Women all-rounder Ellyse Perry termed the 2020 ICC Women's T20 World Cup to be ""bigger than just the tournament"" for women's cricket. ""I don't even think it was about our team...It was more about the sport and women's sport in Australia and around the world,"" she stated. ""The moment in women's cricket that it created was incredible,"" she added.  

short by Ankur Taliyan / 
      09:56 pm on 10 May

"
"Hackers selling 73 million user records from 10 firms for $18,000","
A hacker group, ShinyHunters, is selling details of over 73 million users from 10 companies on the dark web for about $18,000. ShinyHunters was also behind selling details of 22 million Unacademy users on the dark web and hacking details of GitHub and Tokopedia users. Data from companies including dating app Zoosk and US newspaper Star Tribune were sold. 

short by Anushka Dixit / 
      09:07 pm on 10 May

"
WhatsApp Web to get Messenger Rooms shortcut soon: Report,"
WhatsApp is working on adding a shortcut for Facebook Messenger Rooms on its desktop version, WABetaInfo reported. The feature will allow users to directly go to Messenger Rooms window from the WhatsApp chat. As per the report, the feature is already available for selected WhatsApp for Web beta users. Facebook had launched the video calling platform last month. 

short by Anushka Dixit / 
      10:30 pm on 10 May

"
Italian aid worker freed after 18 months returns home,"
Italian aid worker Silvia Romano, who was kidnapped in Kenya by gunmen 18 months ago, has been freed and returned to Italy on Sunday. Italy's foreign minister said Romano was found in Somalia and was released thanks to the external intelligence agency but didn't give any further details. A local newspaper claimed that Italy paid a ransom to free Romano.

short by Shailesh / 
      09:05 pm on 10 May

"
"669 new coronavirus cases in Tamil Nadu, total cases cross 7,000","
Tamil Nadu on Sunday reported 669 new coronavirus cases, taking the total number of cases in the state to 7,204. This includes 1,959 people who have been discharged from hospitals and 47 patients who have died. Chennai with 3,839 cases is the worst-affected district in Tamil Nadu. Currently, there are 5,195 active coronavirus cases in the state.

short by Apaar Sharma / 
      07:35 pm on 10 May

"
"It's like I have 5 boyfriends in 1, it's my choice: Neha shares pics on anniversary","
Actress Neha Dhupia shared pictures with her husband, actor Angad Bedi, on their second wedding anniversary. ""Angad is...the love of my life, a support system, a great father, my best friend and the most annoying roommate...It's like I've 5 bfs in one...it's my choice,"" she wrote. The caption is in reference to the controversy over her remark on 'Roadies Revolution'.

short by Daisy Mowke / 
      08:15 pm on 10 May

"
"I'm the only earning member of my family, can't afford to be depressed: Shweta","
Television actress Shweta Tiwari, while speaking about battling issues in her personal life, said, ""I have so many responsibilities, so many people to look after."" ""I can't afford to be depressed, or sulk, because I have my daughter, my son, have my house to look after,"" she added. ""I am the only earning member [of my family],"" Shweta further said.

short by Daisy Mowke / 
      06:22 pm on 10 May

"
"88 Indian doctors, nurses land in Dubai to help UAE fight coronavirus","
A team of 88 nurses and doctors from Kerala, Karnataka and Maharashtra landed in Dubai on Saturday night, to help the UAE amid rise in coronavirus cases in the country. The nurses specialise in working in the Intensive Care Unit (ICU). The team will stay in quarantine for 14 days after which they will be assigned to various field hospitals.

short by Sakshita Khosla / 
      07:11 pm on 10 May

"
"19-yr-old Vadodara boy tests positive for coronavirus 7 times, never showed symptoms","
A 19-year-old boy in Vadodara has tested positive for coronavirus seven times and has not shown any symptoms since his diagnosis. ""No cough, no tiredness, not even a headache. I've felt perfectly fine since day one,"" he said. He had tested positive for the first time on April 12 and has been at a quarantine facility since then.

short by Anmol Sharma / 
      08:16 pm on 10 May

"
Ready to run 300 trains for migrants daily to get them to homes in 3-4 days: Goyal,"
Railway Minister Piyush Goyal today tweeted that Railways is fully geared up to run 300 Shramik Special Trains everyday at short notice since the last six days. He added, ""I appeal to all states to give permission to evacuate and bring back their stranded migrants so...we can get all of them back to their homes in the next 3-4 days.""

short by Anmol Sharma / 
      06:00 pm on 10 May

"
82% people who died of COVID-19 in Delhi were above 50 years age: CM,"
Delhi CM Arvind Kejriwal on Sunday said that according to government analysis, 82% of people who died of COVID-19 in the national capital, were above the age of 50 years. ""We're seeing that there are more deaths among the elderly,"" said Kejriwal. Approximately 75% of active COVID-19 cases in Delhi are either mild or asymptomatic, he added.

short by Sakshita Khosla / 
      06:30 pm on 10 May

"
"Railways unable to handle migrant crisis, seek armed forces' help: Patel tells govt","
Congress leader Ahmed Patel on Saturday requested the government to constitute a ""multimodal agency under a senior Cabinet Minister to oversee relief and rescue of migrants"" amid lockdown. Patel claimed that Railway Ministry has been unable to handle the problem. ""If need be even support of Armed Forces must be sought to solve this humanitarian crisis,"" said Patel on Twitter.

short by Sakshita Khosla / 
      08:51 pm on 10 May

"
"Coronavirus cases cross 800 in Karnataka, 422 discharged","
Karnataka has reported 54 new coronavirus cases since Saturday evening, taking the total number of cases to 848 in the state. This includes 422 patients who have been discharged and 31 patients who died due to COVID-19. Out of the active 394 cases, 388 patients are reported to be stable in designated hospitals, while six patients are in the ICU.

short by Apaar Sharma / 
      06:45 pm on 10 May

"
Faridabad records 3rd COVID-19 death as 72-year-old woman passes away,"
Faridabad in Haryana has recorded its third COVID-19 fatality, with a 72-year-old woman succumbing to the viral infection on Saturday evening. The deceased suffered a cardiorespiratory arrest, three days after she tested positive for coronavirus and was shifted to ESIC Medical College, said Yash Pal, Deputy Commissioner of Faridabad. The patient was diabetic and was undergoing treatment, said Pal.

short by Sakshita Khosla / 
      06:23 pm on 10 May

"
Which states and Union Territories have not reported any coronavirus case?,"
India has reported over 62,939 coronavirus cases so far across 33 states and Union Territories. Lakshadweep is the only Union Territory which has not reported any coronavirus case. Meanwhile, Sikkim and Nagaland are the only states with no coronavirus case. Dadra and Nagar Haveli and Daman and Diu reported its first case earlier this week. 

short by Anmol Sharma / 
      08:15 pm on 10 May

"
44 of 49 who tested +ve for coronavirus in Bihar on Saturday are returnee migrants ,"
Out of the 49 people who tested positive for coronavirus in Bihar on Saturday, 44 are the migrants who had returned from other states, the state health department said. On Sunday, 18 more coronavirus positive cases were reported in Bihar, taking the total number of positive cases to 629. As many as six COVID-19 patients have died in Bihar.

short by Anmol Sharma / 
      08:22 pm on 10 May

"
Batsman should be given out LBW if any ball is going to hit the stumps: Ian Chappell,"
Ex-Australia captain Ian Chappell has proposed changes in LBW laws, stating a batsman should be given out LBW as long as the ball is going to hit stumps irrespective of the spot of its landing and impact. He added it shouldn't matter if a shot has been attempted or not. He stated the change will bring fairness to the game.

short by Anmol Sharma / 
      07:07 pm on 10 May

"
Pak national broadcaster tweets Ladakh's max temp is -4°C & min -1°C; gets trolled,"
Pakistan's national broadcaster Radio Pakistan was trolled for tweeting, ""In Ladakh, maximum temperature is -4 degree centigrade and minimum temperature is -1 degree centigrade."" ""Wrong...maximum should be -1 and minimum should be -4,"" a user tweeted. ""RIP common sense,"" tweeted another. Radio Pakistan's tweet came after IMD started including Gilgit-Baltistan and areas under PoK in its forecast.

short by Pragya Swastik / 
      07:13 pm on 10 May

"
"Reliance sets May 14 as record date for ₹53,125 crore rights issue","
Reliance Industries has set May 14 as the 'Record Date' for determining the equity shareholders eligible for its ₹53,125 crore rights issue, the company said. The opening and closing dates of the rights issue will be announced separately. This is the first rights issue RIL has planned in 29 years as it aims to reach zero net debt by 2021.

short by Anushka Dixit / 
      05:59 pm on 10 May

"
Knitting while I was growing in womb: Mahindra on pic of late mom on Mother's Day,"
Mahindra Group's Anand Mahindra took to Twitter to share a picture of his late mother, Indira Mahindra, as he remembered her on Mother's Day. ""Knitting while I was busy growing in her womb,"" he tweeted. ""I'm glad she looked happy while (expecting) & I hope that having to bring me up didn’t wipe that smile off her face,"" he added.

short by Pragya Swastik / 
      08:51 pm on 10 May

"
"Son prayed for sister for 3 years, he manifested it: Shilpa","
Shilpa Shetty has revealed her son Viaan used to ask her and husband Raj Kundra about why he didn't have a sibling. ""We visit Shirdi...every year and for the past three years, he'd...pray that he wants a baby sister,"" Shilpa, who welcomed daughter Samisha via surrogacy in February, said. ""Viaan...prayed for Samisha...I feel he has only manifested it,"" she added.

short by Vidushi Mishra / 
      05:41 pm on 10 May

"
" Incoming economic data worse than estimates, crisis not going away soon: IMF","
The IMF said the incoming economic data for many countries is below their previous assessment for 2020 and developing nations may need more than the estimated $2.5 trillion financing. ""With no immediate medical solutions, more adverse scenarios might materialise for some economies,"" IMF MD Kristalina Georgieva said. ""This crisis isn't going away anytime soon,"" Chief Economist Gita Gopinath added.

short by Anushka Dixit / 
      07:43 pm on 10 May

"
Russia becomes 5th country to report over 2 lakh COVID-19 cases,"
Russia on Sunday reported 11,012 new cases of coronavirus in the last 24 hours, bringing the nationwide tally to 2,09,688, Russian authorities said. Russia is the fifth country in the world to report over 2 lakh cases of coronavirus. The country reported 88 deaths from coronavirus during the same period, taking its death toll from coronavirus to 1,915.

short by Shailesh / 
      07:07 pm on 10 May

"
Germany detains dozens for protesting against COVID-19 restrictions,"
German Police on Saturday detained dozens of people after clashes erupted at protests against restrictions imposed due to coronavirus. Two police officers were injured during the protests and a 23-year-old man was arrested after he attacked a TV crew. Cologne Police said that some protesters in the city urged shoppers to remove their face masks when entering stores.

short by Shailesh / 
      08:38 pm on 10 May

"
So what if crowds are not there: Pietersen on sports without spectators ,"
On the question of resuming sports without spectators, former England captain Kevin Pietersen said, ""Sport will have to be played behind closed doors until we find a vaccination for coronavirus. Sportsmen have got to deal with it."" ""So what if the crowds are not there...the public, need a morale boost...sport is so uplifting...positive for so many people,"" he stated. 

short by Ankur Taliyan / 
      07:38 pm on 10 May

"
873 more foreign workers test +ve for COVID-19 in Singapore,"
Singapore on Sunday reported 876 new cases of coronavirus in the previous 24 hours, including 873 in foreign workers, the country's Health Ministry said. Singapore has so far reported 23,336 cases of coronavirus in total and 20 deaths from the virus. Coronavirus, which originated in China's Wuhan city, has infected over 40 lakh people worldwide.

short by Shailesh / 
      07:22 pm on 10 May

"
"T20 is amazing, good entertainment, but does not make bowlers: Wasim Akram","
Former Pakistan pacer Wasim Akram has said that the youngsters need to play ""more First-Class cricket"" to learn bowling. ""T20 is amazing, good entertainment...[but it] does not make bowlers,"" he added. ""I see so many fast bowlers these days, running in the entire day, bowling with the same run-up, same pace, without variations...that won't make a batsman think,"" he stated. 

short by Ankur Taliyan / 
      06:42 pm on 10 May

"
"Stokes best teammate I've played with, Smith best opponent: Stuart Broad","
England pacer Stuart Broad has said that while all-rounder Ben Stokes is the ""best teammate"" he has played with, Australia batsman Steve Smith is the ""best opponent"". ""I have yet to figure out the best way to bowl at Smith. He makes life tough for bowlers and has a huge hunger for big scores,"" stated Broad. 

short by Ankur Taliyan / 
      06:23 pm on 10 May

"
Rahul got me a couple of times: Archer on toughest T20 batsman he's faced,"
During an online interaction with New Zealand spinner Ish Sodhi, England pacer Jofra Archer picked KL Rahul as the toughest batsman he has faced in T20 cricket. ""He [Rahul] got me a couple of times playing for Kings XI Punjab,"" stated Archer. ""He's a good player. He really played well in New Zealand, taking advantage of small grounds,"" Sodhi added. 

short by Ankur Taliyan / 
      07:58 pm on 10 May

"
World’s 2.7 bn gamers will spend $159.3 bn on games in 2020: Report,"
The world's 2.7 billion gamers will spend approximately $159.3 billion on games in 2020, growing 9.3% year-on-year, a report by market researcher Newzoo said. The figure is expected to cross $200 billion by 2023, growing at a compound annual growth rate of 8.3%. Maximum revenue may be generated on mobile games growing over 13.3% y-o-y to $77.2 billion in 2020. 

short by Anushka Dixit / 
      06:12 pm on 10 May

"
We don't have missing US contractor: Taliban,"
A spokesperson of the Taliban on Sunday said that it is not holding US Navy veteran turned contractor Mark Frerichs, who went missing in Afghanistan in early February. US' special representative for Afghanistan Zalmay Khalilzad called for Frerichs' release and also sought Pakistan's help in locating him. Earlier, the FBI released Frerichs' pictures and sought information into his disappearance.

short by Shailesh / 
      06:41 pm on 10 May

"
Elon Musk and Grimes pronounce their baby's name 'X Æ A-12' differently,"
Tesla CEO Elon Musk and his singer-girlfriend Grimes have suggested different pronunciations of their baby's name 'X Æ A-12'. During a podcast, Musk said his newborn's name is pronounced as 'X Ash A twelve'. However, responding to a user on Instagram, Grimes said, ""It's just X, like the letter X...Then A.I. Like how you said the letter A then I.""

short by Pragya Swastik / 
      04:08 pm on 10 May

"
"Not just about dating, I tell mom everything: Shweta Tiwari's 19-yr-old daughter","
Actress Shweta Tiwari's 19-year-old daughter Palak Tiwari has said that she does not like to lie to her mother and shares everything with her. ""It's not just dating...If I like someone, if something shady is happening...even if I'm in a club, she's the first person to know everything,"" she stated. Palak added that Shweta is ""always very supportive"" and understanding.

short by Vidushi Mishra / 
      03:50 pm on 10 May

"
Mismatch in COVID-19 death toll as hospitals don't send summaries: Delhi Minister,"
Delhi Health Minister Satyendar Jain on Sunday responded to a question on discrepancies in COVID-19 death toll figures in the national capital by saying that the issue arises because hospitals report deaths but don't send summaries. ""We have directed all hospitals to send detailed summaries within 24 hours of the occurrence of deaths,"" said Jain.

short by Sakshita Khosla / 
      04:21 pm on 10 May

"
Other states should be alert: Kerala CM after 2 evacuees test COVID-19 +ve,"
After two evacuees who were brought back from UAE under Vande Bharat Mission tested COVID-19 positive in Kerala, CM Pinarayi Vijayan said the new cases are ""a warning to those coming back from abroad and for other states to be on the alert"". The CM further said that there is a need to strengthen ""our mitigation efforts and preventive measures"".

short by Jigyasu / 
      04:40 pm on 10 May

"
75% of coronavirus cases in Delhi are asymptomatic or with mild symptoms: Delhi CM,"
Delhi CM Arvind Kejriwal has said that 75% of COVID-19 cases in the national capital are asymptomatic or with mild symptoms. He further said that of the 6,923 coronavirus patients in Delhi, 1,476 are admitted at hospitals, while the rest are getting treatment at homes or COVID-19 centres. He reiterated that citizens will have to learn to live with coronavirus.

short by Anmol Sharma / 
      04:51 pm on 10 May

"
"45 new COVID-19 cases reported in Rajasthan, death toll crosses 100","
As many as 45 new COVID-19 positive cases were reported in Rajasthan till Sunday 2 pm, taking the total number of cases to 3,753, the state health department said. Moreover, the death toll in the state has reached 107 with one death reported in Jaipur on Sunday. The number of active cases in Rajasthan now stands at 1,470.

short by Jigyasu / 
      04:13 pm on 10 May

"
Maha govt must allow pvt vehicles to ferry migrants home: Sanjay Raut,"
Shiv Sena MP Sanjay Raut on Sunday said it's important for Maharashtra government to permit private vehicles to ferry migrant workers to their homes amid coronavirus lockdown. ""The labour class is walking (back home), this is not a good picture. Their children are with them,"" said Raut on Twitter. ""Railways is not ready to operate trains for them,"" he added.

short by Sakshita Khosla / 
      05:13 pm on 10 May

"
S Koreans warned of 2nd coronavirus wave as cases rebound to one-month high of 34,"
South Koreans have been warned of a second wave of coronavirus as infections rebounded to a one-month high of 34, just as the authorities were starting to ease some pandemic restrictions. ""It's not over until it's over,"" President Moon Jae-in told the nation, saying a new cluster shows the virus can spread widely at any time.

short by Ankush Verma / 
      04:40 pm on 10 May

"
Aarogya Setu team has predicted 650 COVID-19 hotspots across India: Govt body,"
Niti Aayog has said Aarogya Setu team has predicted 650 coronavirus hotspots in India at sub-post office level, in addition to over 300 emerging hotspots ""which could've been missed otherwise"". These were determined through location history of COVID-19 patients on the app and self-assessment information. This will be used by Health Ministry, Principal Scientific Adviser K VijayRaghavan stated.

short by Daisy Mowke / 
      04:48 pm on 10 May

"
Lockdown won't be here forever: Kejriwal urges migrants not to leave Delhi,"
Delhi CM Arvind Kejriwal has requested the migrant labourers in Delhi to not leave, saying, ""This lockdown will not be here forever. Things will reopen soon."" Kejriwal said, ""It feels like the entire system has failed, all governments have failed."" He added, ""They have blisters on their feet, they don't have food, some are carrying their children on their shoulders.""

short by Apaar Sharma / 
      05:20 pm on 10 May

"
Forget coming back to power: Rajinikanth to AIADMK on reopening liquor shops,"
A day after Tamil Nadu government moved the Supreme Court challenging the High Court order directing closure of TASMAC liquor outlets, actor-turned-politician Rajinikanth on Sunday said that the ruling AIADMK should forget returning to power if it reopened the liquor shops amid coronavirus pandemic. Rajinikanth also asked the state government to work out alternate modes of revenue generation. 

short by Apaar Sharma / 
      04:23 pm on 10 May

"
Disabled flies sleep more as they learn to adapt to flightlessness: Study,"
Flies that cannot take to the air respond by sleeping more while they learn to adapt to flightlessness, a study found. Baby fruit flies need to expand their wings near the first half-hour after emerging from pupal cases, or their wings don't develop properly. By hindering this process, researchers rendered some flies flightless and found they slept more than usual.

short by Dharna / 
      04:33 pm on 10 May

"
"Nurse allegedly beaten, stabbed over social distancing in Haryana","
A male nurse at a government hospital in Haryana was allegedly beaten up and stabbed by a group of men after he asked them to exercise social distancing outside the hospital. The incident occurred on Thursday when accused went to the hospital with injuries sustained during fight with another group, reported The Indian Express. Two of the accused were held.

short by Sakshita Khosla / 
      03:54 pm on 10 May

"
First rhino poaching case reported in Kaziranga National Park in 13 months,"
Kaziranga National Park in Assam reported its first rhino poaching case in 13 months after authorities found a full-grown male carcass with its horn missing on Saturday. ""We recovered eight rounds of empty cartridges of AK-47,"" an official said. According to authorities, the park reported three cases of poaching in 2019 whereas, in 2017 and 2018, six incidents were reported. 

short by Jigyasu / 
      04:56 pm on 10 May

"
"African Swine Fever kills over 13,000 pigs in Assam","
African Swine Fever (ASF), which was first detected in Assam in February this year, has killed 13,013 pigs in the state, a spokesperson of animal husbandry and veterinary department said. The deaths have been reported from nine districts in Assam. ASF is a severe viral disease affecting domestic and wild pigs and doesn't get transmitted from animals to human body.

short by Pragya Swastik / 
      05:38 pm on 10 May

"
"Nepal objects to India opening link road for Kailash Mansarovar, govt responds","
Nepal on Saturday said India's decision to inaugurate the link road connecting to Lipulekh pass, which it claims to be part of its territory, is a breach of an agreement between the two countries. Responding to Nepal, the government said, ""Recently inaugurated road section...lies completely within India's territory. The road follows pre-existing route used by Kailash Mansarovar Yatra pilgrims.""

short by Anmol Sharma / 
      04:50 pm on 10 May

"
"Big B shares mom's old pics, says every day is Mother's Day","
Remembering his late mother Teji Bachchan on Mother's Day, Amitabh Bachchan shared several old pictures of her on his blog. ""Every day is Mother's Day..many odes to her in words...come..sentiments are...in compliance with worldwide sentiment..but each day is hers..shall ever be so,"" he wrote. Bachchan also shared the picture of his mother's photo frame that he keeps on his desk.

short by Vidushi Mishra / 
      04:59 pm on 10 May

"
"Sonam, Anushka share pics with moms, wish happy Mother's Day","
Several Bollywood celebrities including Vicky Kaushal, Sonam Kapoor, Anushka Sharma and Sara Ali Khan took to Instagram to post pictures of themselves with their mothers to wish them a happy Mother's Day. Sharing a picture featuring her mother and mother-in-law, Anushka wrote, ""Your loving spirit helped us pave our way."" Furthermore, Sonam thanked her mother-in-law for loving her unconditionally.

short by Vidushi Mishra / 
      04:56 pm on 10 May

"
'The Batman' will be darker than previous films: Andy Serkis,"
When asked whether Matt Reeves-directed upcoming film 'The Batman' will be darker than previous Batman films, Andy Serkis, who will play Batman's butler Alfred Pennyworth in it, said, ""I'd say that's not far from the truth."" He further said that Matt has written a ""really exquisite script"". ""It's very much about the emotional connection between Alfred and [Batman],"" Andy added.

short by Vidushi Mishra / 
      04:28 pm on 10 May

"
FM Nirmala Sitharaman to meet PSU CEOs on May 11 to review credit flow,"
Finance Minister Nirmala Sitharaman will reportedly meet CEOs of PSUs on Monday to discuss issues including credit offtake to help uplift the economy amid the coronavirus crisis. Discussions over interest rate transmission to borrowers by banks and progress on moratorium on loan repayments will take place. Deployment of excessive funds by banks under reverse repo route will also be discussed. 

short by Anushka Dixit / 
      05:10 pm on 10 May

"
2nd-tier club Dresden's squad in quarantine week before Bundesliga restart,"
The entire squad of Bundesliga second-tier club Dynamo Dresden has been ordered into a 14-day quarantine after two new coronavirus cases surfaced, announced the German club. The top two tiers of German football are due to resume the 2019-20 seasons next Saturday. Dresden were scheduled to face Hannover 96 on May 17 and then Greuther Furth on May 24. 

short by Ankur Taliyan / 
      05:02 pm on 10 May

"
"S Korea reports 34 COVID-19 cases in 24 hrs, its highest in a month","
South Korea on Sunday reported 34 new cases of coronavirus in the past 24 hours, the highest daily rise in virus cases since April 9, the government said. Of the new cases, 26 were domestically transmitted infections and eight were imported cases, the Korea Centers for Disease Control and Prevention (KCDC) said. South Korea has recently eased the coronavirus lockdown.

short by Shailesh / 
      04:29 pm on 10 May

"
